origin,replace
在建中,正在建造中
當前,目前
可卡因,古柯鹼
臺,台
合同,合約
質量,品質
她是個大姑娘了,她是大人了
應用,套用
全屏,全螢幕
呆在,待在
呆過,待過
愛人,伴侶
沒法,沒辦法
部件,零件
看上去,看起來
幾周,幾週
夥計們,各位
夥計！,朋友
夥計,朋友
這兒,這裡
那兒,那裡
哪兒,哪裡
凶手,兇手
併,並
點兒,點
土豆,馬鈴薯
這會兒,現在
教程,教學
禁用,停用
天后,天後
迴歸,回歸
提取,開採
檢視,查看
索爾茲伯裡廣場,索爾茲伯里廣場
盡快,儘快
艦炮,艦砲
必不可少,不可或缺
回覆健康,回復健康
排程,調度
丟失,遺失
設定資訊宣傳欄,設置資訊宣傳欄
設定這麼多應急班次,設置這麼多應急班次
設定好了一個刑場,設置好了一個刑場
設定燈塔,設置燈塔
設定前哨站,設置前哨站
設定新的運輸,設置新的運輸
偷盜食物,偷竊食物
訊息,消息
型別,類型
乾的,幹的
乾重活了,幹重活了
乾點啥,幹點什麼
里面,裡面
巖,岩
廢墟里,廢墟裡
筆記本里,筆記本裡
添加,增加
出髮,出發
必需,必須
必須品,必需品
身份,身分
髮配,發配
髮出,發出
呆過,待過
引數,參數
面包,麵包
很疼，對不對？我知道很疼，疼就對了！,很痛，對不對？我知道很痛，痛就對了！
想象,想像
領導的,領袖的
好領導,好領袖
無能的領導,無能的領袖
他們的領導,他們的領袖
比首領更好的領導,比首領更好的領袖
愚蠢的領導,愚蠢的領袖
我們的領導,我們的領袖
像樣的領導,像樣的領袖
好點的領導,好點的領袖
英明領導,英明的領袖
給力,夠力
領導身後,領袖身後
是我們還是領導,是我們還是領袖
罷工領袖,罷工領袖
值得擁有更好的領導,值得擁有更好的領袖
需要一位新領導,需要一位新領袖
我們需要新的領導,我們需要新的領袖
我們失敗的領導,我們失敗的領袖
決不,絕不
照明瞭,照明了
岩滑,坍方
水平,水準
制作,製作
鬥爭,抗爭
制鋼,煉鋼
已制好,已製作完成
隧道里,隧道裡
峽谷里,峽谷裡
征程,征途
真凶,真兇
行凶,行兇
幫凶,幫兇
最凶,最兇
帝國的邊界,帝國邊境
拓展包,擴充包
解壓,紓壓
采集,採集
大夥兒,大家
花兒,花朵
小夥子們，,各位
偵察員,偵查員
工棚,工寮
應急班次,緊急輪班
反饋,回饋
In the Care House the gravely ill and the cripples are kept alive on half rations.</n>Base heating level: 1.,在養護所中，重病與殘障人員可依靠半量配給維生。</n>基礎供暖等級: 1.
In the Care House the gravely ill and cripples will be kept alive on half rations.,養護所可讓重病與殘障人員依靠半量配給存活。
Build the Care House to keep the gravely ill and the cripples alive at a reasonable cost.,建造養護所，可用合理成本讓重病與殘障人員生存下來。
Care House,養護所
凍僵的樹木,冰封的樹木
嚴重凍僵的男孩,嚴重失溫的男孩
被凍僵的家庭,被凍死的家庭
凍僵的屍體,冰凍的屍體
糾纏在一起凍僵了,擁抱在一起凍死了
高熱,高溫
裡奇,里奇
計程車氣,的士氣
開封,拆封
質量,品質
呆在,待在
索要,勒索
煙癮,菸癮
倒黴,倒楣
捱餓,挨餓
燒燬,燒毀
其它,其他
幹活,工作
拆卸,拆解
就將,即將
即將全部死亡,將全部死亡
我們即將把他們繩之以法,我們就把他們繩之以法
計劃,計畫
已計畫進行考察,已安排進行考察
正計畫離開,正打算離開
計畫在18天後,預定在18天後
他們計畫將其分給,他們打算將其分給
譴責您計畫控制,譴責您意圖控制
正在計畫出席,打算出席
在計畫建造,原定建造
已按計畫進行,已按照計畫進行
已計畫午夜遊行,已擬定午夜遊行
計畫第二天出發,預計第二天出發
計畫用來,打算用來
有所計畫,有所規劃
計畫自殺,預謀自殺
配置,指派
退出,離開
回復健康,恢復健康
回到崗位,返回工作
崗位,職務
工作職務,工作崗位
堅守職務,堅守崗位
離開職務,離開崗位
留在職務,留在崗位
鋼廠,煉鋼廠
破環,破壞
救助速度,治療速度
糧食變成美餐,食材變成美餐
建造鋼廠,建造煉鋼廠
提高鋼產量,提高鋼鐵產量
增加鋼產,增加鋼鐵產量
極大提高,大幅度提高
風險極大,風險極高
運至倫敦,運回倫敦
古柯鹼片,古柯鹼藥片
木糠,木屑
將擴充套件,將擴展
並擴充套件其供熱場,並擴展其供熱場
範圍擴充套件,範圍擴展
三個擴充套件包：The Last Autumn，On The Edge以及The Rifts,三個DLC：最後的秋天，帝國邊境，以及裂縫
半徑擴充套件10%,半徑擴展10%
擴充套件50%,擴展50%
供熱場擴充套件,供熱場擴展
我們已經用防護擴充套件程式調整機器人，這樣機器人能更高效地為我們認知中最脆弱的東西——人類身體而服務。我們還可以移除一些非必要零件。,我們已經為機器人加裝了額外的防護裝置，讓它們能更有效地保護我們所知最脆弱的東西——人類的身體。同時，我們還能拆除一些非必要的零件。
擴充套件,DLC
高效地,有效地
壞掉的電梯,損壞的電梯
壞掉的食物,腐敗的食物
壞掉的機器人,故障的機器人
機器人壞掉了,機器人故障了
壞掉的傢俱,損壞的傢俱
壞掉汽車,故障汽車
壞掉的汽車,故障的汽車
壞掉的地方,故障的地方
治療室,診療室
警衛站,警備站
養護所,療養所
決鬥場,格鬥場
信仰守護者,信仰衛士
信仰之敵,異端分子
炭窯,木炭窯
煉煉鋼廠,煉鋼廠
製作高階冰牆鑽機，大大提高冰牆採木材量,製作進階冰牆鑽機，大幅提升從冰牆取得的木材量
考察隊,探險隊
刑場,行刑場
一單位生鮮食材可製成兩份餐食,每單位新鮮食物可製成兩份餐點
遇災,遭遇災難
燈塔偵察隊無法看到先前發現,燈塔偵察隊無法回溯先前的發現
食物配給不足,食物供應不足
食物配，,食物配給，
一些倫敦幫的人,部分倫敦幫的人
晚間祈禱,夜間禱告
倫敦幫的破壞行為,倫敦幫的惡意破壞行動
死屍廢物利用,屍體再利用
患者鑑別分類,患者檢傷分類
工頭能讓本設施內的所有工人以最佳狀態工作。你得給工頭提供食物。,工頭可以讓設施內的所有工人維持最高工作效率，但你必須為工頭提供額外的食物配給。
將燒焦的木材變成炭,將木材燒製成木炭
信仰衛士會把人們召集起來，帶他們遊行。,信仰衛士會召集民眾，帶領他們進行遊行。
使用蒸汽融化出一條通往冰牆的隧道,利用蒸汽鑿穿冰牆，形成通道
這個住所適於居住,這個住所適合居住
伙房裡的食物供應不足！要麼是沒有足夠的生鮮食材可以製成食物配給，要麼就是伙房不能快速製成足夠的餐食分配給每一個人了。,伙房內食物供應不足！可能是生鮮食材不足，或伙房無法快速製作足夠的餐食。
半數病人會立即痊癒，但是大約會有四分之一的病人死去。,半數病人會立刻痊癒，但約四分之一的病人將因此死亡。
工頭可以讓設施內的所有工人維持最高工作效率，但你必須為工頭提供額外的食物配給。,工頭能提高設施內所有工人的工作效率，但需要給工頭提供額外的食物配給。
加急施工,緊急施工
美餐,豐盛餐點
假肢,義肢
我們將屍體遺棄在雪中，繼續我們的征途,我們將屍體遺棄在雪地裡，繼續踏上旅程。
遍佈,遍布
公佈,公布
宣佈,宣布
頒佈,頒布
散佈,散布
分佈,分布
佈滿,布滿
佈道,布道
無效佈局位置。,無法放置在此處。
街道佈局,街道布局
腳手架,鷹架
立馬,立刻
安全裝置,安全裝備
采用,採用
透過,通過
通過小鎮,透過小鎮
通過冰面,透過冰面
墓冢,墳塚
科學裝置,科學設備
運營,營運
冢,塚
裝置,設備
高精設備,高精密設備
驅動設備,驅動裝置
特殊設備,特殊裝置
天文台,天文臺
技術之樹,技術樹
意識之樹,意識樹
表達瞭,表達了
求生設備,求生裝置
該專利描述的設備,該專利描述的裝置
該設備為使用者提供光源和熱源,該裝置為使用者提供光源和熱源
關於義肢，它們的構造和套用,關於義肢，它們的構造和應用
安全程式,安全程序
假臂,義肢
衝滿,充滿
亟需,極需
傳送物資,發送物資
趁手,稱手
麵板,面板
高亮圖示,突出圖示
專案,項目
他孃,他媽
他娘地,他媽的
愈發,越發
簡單的資訊,簡單的訊息
彆,別
把話撂這裡了,把話撂這了
複用乏味的傳統驅動器。,重複使用過時的驅動器
汙穢,污穢
翫忽職守,玩忽職守
燻到,薰到
封住人們在嘴,封住人們的嘴
混賬,混帳
算賬,算帳
大家用興奮藥物的時候得悠著點。,大家在用興奮劑的時候要節制點。
我們也拼出了“流感犀牛”以及“咯咯姥姥”,我們也拼出了“流感犀牛”以及“科科嬤嬤”
咯,囉
白痴,白癡
還有很多活兒要幹！,還有很多工作要做！
遺失的孩子,走失的孩子
擺佈,擺布
支援,支持
但命運如此……,但我們還有選擇嗎？
死於職務中,死於工作崗位
捱打,挨打
雜活兒,雜事
髒活兒,骯髒差事
體力活兒,體力活
活兒要幹,工作要做
活兒,工作
幹這些活兒,做這些工作
等到死,等死
女士們先生們,各位先生女士
倉位,艙位
傳送,發送
翻一番,增加一倍
解除安裝,卸載
回車鍵,Enter鍵
點選選擇,點擊
自定義,自訂
為了生存主義者,針對生存主義者
新增新研究,添加新研究
為了建造者,針對建造者
新增加,更新
該補丁的更新,更新
該補丁的重要更新,重要更新
攝氏度,攝氏
華氏度,華氏
相機,鏡頭
你總能在設定中跳過教學,你能隨時在設定中跳過教學
溫度塗分布,溫度圖分布
能量塔壞了,能量塔故障了
點選瞭解更多,點擊了解更多
新增新研究,增加新研究
小鍵盤,數字鍵
換擋鍵,Alt
控制鍵,Ctrl
上檔鍵,Shift
下頁鍵,Page Down
上頁鍵,Page Up
空格鍵,空白鍵
聯絡,聯繫
杜松子酒,琴酒
不光是工程師，工人們也應該喝上下午茶！,不光是工程師，工人也該有資格享受下午茶！
太冷了！必須允許工人在工作時喝上杜松子酒。,太冷了！應該讓工人工作時來點琴酒暖暖身。
當然，要讓每個人都喝上茶,當然，要讓每個人都喝得到茶
我很期待哪天 晚上能跟朋友們在酒館喝上幾杯。,我很期待哪天晚上能和朋友在酒館喝幾杯。
緊緊包裹著,緊緊懷抱
包裹著,包覆著
做體力活,幹體力活
安保武力,維安部隊
更強大的安保,更強大的維安措施
安保,維安
這條資訊,這條訊息
他以靈魂起誓，所有資訊確切,他發誓這些訊息都是正確的
被牆上的資訊所困擾,被牆上的訊息所困擾
他讓我們轉交給您一條資訊,他讓我們轉交給您一則訊息
想法和資訊,想法和訊息
添亂普法者,正義麻煩製造者
拳頭重重地錘在了桌面上,拳頭重重地捶在了桌面上
只好用錘子強行捶打,只好用榔頭強行捶打
蒸汽錘,蒸汽動力錘
可燃溶劑粗苯,易燃化學品
粗苯,易燃化學品
他在職務上睡著了,他在值勤時打瞌睡
機器人在職務上運作,機器人在工作中運作
緊急輪班職務上的人們,緊急輪班工作的人們
離開了我的職務,離開了我的工作崗位
交換職務,互換工作
逃離職務,擅離職守
離開了職務,擅離職守
回到了自己的職務上,回到工作崗位
人們又回到了職務上去,人們又回到工作崗位
返回了各自的職務,返回各自的工作崗位
童工——安全的職務,童工——安全的工作
童工—— 所有職務,童工——全部的工作
議會里,議會裡
新曼徹斯特里,新曼徹斯特
清洌可鑑,清澈可鑑
飈,飆
開啟賬本,翻開帳本
合上了賬本,闔上帳本
支持建設,支援建設
指明瞭,指明了
犧牲瞭,犧牲了
重新開啟之前,重新啟動之前
點選開啟,點選啟動
能量塔過載運作開啟,能量塔過載已啟動
加熱器已開啟,加熱器已啟動
過熱執行開啟,過熱模式啟動
開啟法典,打開法典
開啟通訊螢幕,打開通訊螢幕
能量塔已開啟,能量塔已啟動
開啟過載運作,啟動過載運作
你需要開啟能量塔,你需要啟動能量塔
開啟能量塔,啟動能量塔
成功將其開啟,成功打開它
將其開啟,將其啟動
面板將開啟,面板將打開
技術樹將開啟,打開技術樹
可開啟聯繫視窗,可打開聯繫視窗
開啟霜凍之地的地圖,打開霜凍之地的地圖
為工地開啟供暖,為工地啟用供暖
開啟建設面板,打開建設面板
開啟前哨隊調度站面板,打開前哨隊調度站面板
開啟選單欄,打開選單欄
孩子們開啟他們的禮物,孩子們打開他們的禮物
開啟礦道,打通礦道
將開啟與溫泉鄉之間的通訊,將展開與溫泉鄉之間的通訊
開啟避難所,打開避難所入口
開啟煤艙,打開煤艙
通過開啟選單暫停遊戲,透過打開選單暫停遊戲
感激你把加熱器開啟,感激你啟用加熱器
如果連晚上也不開啟的話,如果連晚上都不啟動的話
讓職員為你開啟通訊,讓職員為你展開通訊
開啟無畏戰艦面板,打開無畏戰艦面板
開啟“哨站行政部”,打開“哨站行政部”
開啟加熱器,啟動加熱器
開啟燈塔面板,打開燈塔面板
開啟,啟用
地獄之門已啟用,地獄之門已開啟
啟用新的周目,開啟新的周目
遇難船營民,船難營地居民
遇難船營,船難者營地
船難者營地地,船難者營地
兒童幫助,兒童協助
幫助我們,協助我們
幫助該定居,協助該定居
幫助他們,協助他們
提供幫助,提供援助
決定幫助,決定協助
努力幫助,努力協助
尋求幫助,尋求援助
幫助解決,幫忙解決
前來幫助,前來協助
永遠不會到來的幫助,永遠不會到來的援助
切換幫助,切換Help
尋求盟友幫助,尋求盟友援助
拒絕幫助,拒絕幫忙
重建幫助,重建援助
幫助打開,幫忙打開
自願幫助病患,自願協助病患
幫助重患,協助重症患者
從而幫助病患,從而協助病患
這位重患,這位重症患者
互相幫助,互相幫忙
幫助你解決,協助你解決
連線,連接
激活,啟用
普通,一般
圖形,圖像
抗鋸齒,反鋸齒
總能,隨時能
屍體儲存,屍體安置
儲存上限,存放上限
儲存補給,儲放補給
有個女人儲存了,有個女人偷藏了
儲存優良族的物種起源,保存優良族的物種起源
重要歷史儲存了下來,重要歷史保存了下來
儲存這些文物,保存這些文物
值得儲存的物品,值得保存的物品
儲存這個傳統,保存這個傳統
被凍上,被凍結
種子庫成功儲存,種子庫成功保存
無法儲存基礎設施的完整,無法保存基礎設施的完整
死者屍體在送回英格蘭之前會在此處儲存,死者屍體在送回英格蘭之前會在此處安置
那些貴族們打算用來儲存自己財富的金庫,那些貴族們打算用來存放個人財富的金庫
儲存屍體,存放屍體
死者的遺體將放在陳屍所中儲存,死者的遺體將放在陳屍所中暫時安置
種子庫中儲存,種子庫中保存
在無盡凜冬中儲存下來,在無盡凜冬中保存下來
儲存幼苗,保存幼苗
妥善儲存我們發現的紀念物,妥善保存我們發現的紀念物
食品新增劑,食品添加劑
食物新增劑,食品添加劑
新增鋸屑,添加木屑
新增木屑,添加木屑
新增濾鏡效果,添加濾鏡效果
釋出公告,發布公告
釋出的法令,發布的法令
釋出氣象預報,發布氣象預報
釋出命令,發布命令
幹更多活,做更多工作
最最佳化換班,最佳化排班
跨運車,跨運機
高階漁港,進階漁港
高階,進階
提拔到更進階,提拔到更高階
進階玩家,高階玩家
巨大作用力發送到地基,巨大作用力傳送到地基
炸燬,炸毀
斷壁殘垣,斷垣殘壁
造起,建造
建建造,建造起
鋼鐵橋,鋼橋
統領,首領
到處是補丁,到處都是補丁
新補丁說明,更新說明
格式尖塔,信號尖塔
設備與設備,裝置與設備
聯繫官,聯絡官
整個項目,整個專案
目地是要,目的是要
因而在冰冷的荒野中死去了,就這樣倒斃在冰冷的荒野中
至少現在地獄之火現在大概滅了,至少現在地獄之火大概是滅了
......,……
叫啥,是什麼
喲,唷
毫無意義的拼搏,毫無意義的奮鬥
我們每日拼搏可憐的結局只是延緩這一刻來臨,我們拚命掙扎也只是拖延這一刻的到來罷了
我們這麼拼搏到底是為了什麼,我們這麼努力到底是為了什麼
拼搏拯救了我們的性命,是努力救了我們的命
越接近成功，越難拼搏！,越接近成功，就越難再努力！
真誠得,真誠地
咱,我們
趕緊噠,動起來
凍死了！,冷死了！
下層階級,低等人
各守其位,各就各位
連只,連隻
藥力巨大,藥效強大
能量塔遭到永久損壞,能量塔徹底報廢了
再啟用 {Count} {BuildingNames},再啟用{Count}座{BuildingNames}
再建 {Count} {BuildingNames},再建{Count}座{BuildingNames}
建成{Count} {BuildingNames},建成{Count}座{BuildingNames}
翻兩番,增加兩倍
洩壓設備,洩壓裝置
點擊下一個定居點,選擇下一個定居點
點擊上一個定居點,選擇上一個定居點
預設設定,預設值
定製按鈕,自訂按鈕
The Rifts,裂縫
The Last Autumn,最後的秋天
律法之書,法典
加入願望單,加入願望清單
獨佔,獨占
危重病人,重症患者
重病人群,重症人群
重病人,重症患者
你的圖片保存於,你的圖片儲存於
{Count}名{Separator} ({CriticalCount},{Count}名{Separator} ({CriticalCount})
這隻會更糟,這只會更糟
啟用供熱場,啟動供熱場
詆譭,詆毀
無啟用,未啟用
啟用費用,啟動費用